x_m,y_m,s_m
7.15842,5.58294,17.33757
7.13860,5.58268,17.35757
7.11870,5.58245,17.37757
7.09854,5.58220,17.39756
7.07837,5.58192,17.41756
7.05844,5.58165,17.43756
7.03862,5.58138,17.45756
7.01872,5.58115,17.47756
6.99873,5.58091,17.49755
6.97873,5.58067,17.51755
6.95866,5.58042,17.53755
6.93849,5.58017,17.55755
6.91839,5.57988,17.57754
6.89856,5.57961,17.59754
6.87874,5.57937,17.61754
6.85868,5.57913,17.63754
6.83851,5.57887,17.65754
6.81841,5.57858,17.67753
6.79858,5.57831,17.69753
6.77875,5.57807,17.71753
6.75870,5.57783,17.73753
6.73853,5.57757,17.75752
6.71843,5.57728,17.77752
6.69843,5.57701,17.79752
6.67844,5.57673,17.81752
6.65579,5.57639,17.83752
6.62952,5.57520,17.85750
6.60595,5.57321,17.87750
6.57379,5.57000,17.89750
6.54119,5.56291,17.91748
6.51486,5.55638,17.93748
6.48238,5.54594,17.95741
6.45648,5.53516,17.97741
6.42584,5.52161,17.99740
6.39626,5.50386,18.01738
6.37301,5.48892,18.03738
6.34488,5.46773,18.05731
6.32364,5.44857,18.07730
6.29934,5.42562,18.09730
6.27750,5.39920,18.11728
6.26076,5.37770,18.13728
6.24166,5.34924,18.15721
6.22808,5.32487,18.17721
6.21207,5.29451,18.19721
6.19991,5.26170,18.21719
6.19116,5.23583,18.23719
6.18253,5.20250,18.25712
6.17778,5.17509,18.27712
6.17306,5.14474,18.29712
6.17141,5.11367,18.31711
6.17058,5.09182,18.33711
6.17009,5.06868,18.35710
6.17004,5.04700,18.37710
6.17000,5.02683,18.39710
6.17000,5.00666,18.41710
6.17000,4.98666,18.43709
6.17000,4.96666,18.45709
6.17000,4.94666,18.47709
6.17000,4.92666,18.49709
